aid,acid,aeid,asid,assay_source_name,assay_source_long_name,assay_source_desc,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,signal_direction_type,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,analysis_direction,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,reagent_arid,reagent_reagent_name_value,reagent_reagent_name_value_type,reagent_culture_or_assay
1,1,1,1,ACEA,ACEA Biosciences,"ACEA Biosciences, Inc. (ACEA) is a privately owned biotechnology company that developed a real-time, label-free, cell-based assay system based on a microelectronic readout called xCELLigence.",ACEA_T47D,"ACEA_T47D is a cell-based, single-readout assay that uses T47D, a human breast cell line, with measurements taken at 80 hours after chemical dosing in a 96-well plate.",80,9606,human,breast,cell line,\N,T47D,adherent,microplate: 96-well plate,cell-based,cell-based format,single,DMSO,0.5,ACEA_T47D_80hr,"ACEA_T47D_80hr, is one of 1 assay component(s) measured or calculated from the ACEA_T47D assay. It is designed to make measurements of real-time cell-growth kinetics, a form of growth reporter, as detected with electrical impedance signals by Real-Time Cell Electrode Sensor (RT-CES) technology.",Electrical impedance is used to quantify changes to the growth of the cells.,single,growth reporter,real-time cell-growth kinetics,cell proliferation,Label Free Technology,Electrical Sensor: Impedance,RT-CES,both,\N,\N,cellular,cellular,ACEA_T47D_80hr_Negative,1,1,"Data from the assay component ACEA_T47D_80hr was analyzed into 2 assay endpoints. This assay endpoint, ACEA_T47D_80hr_Negative, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability.  Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell cycle' intended target family, where the subfamily is 'cytotoxicity'.",viability,percent_activity,negative,1,MG 132,loss,cellular,cellular,cell cycle,cytotoxicity,0,1|2|3|4|5|6|7|8|9,RPMI-1640|10% FBS|37|24|20000|RPMI-1640|10% charcoal-stripped FBS|37|80,media_base|media_serum|media_temp_celcius|media_time_hr_min|media_cell_aliquot|media_base|media_serum|media_temp_celcius_min|media_time_hr,culture|culture|culture|culture|culture|assay|assay|assay|assay
1,1,2,1,ACEA,ACEA Biosciences,"ACEA Biosciences, Inc. (ACEA) is a privately owned biotechnology company that developed a real-time, label-free, cell-based assay system based on a microelectronic readout called xCELLigence.",ACEA_T47D,"ACEA_T47D is a cell-based, single-readout assay that uses T47D, a human breast cell line, with measurements taken at 80 hours after chemical dosing in a 96-well plate.",80,9606,human,breast,cell line,\N,T47D,adherent,microplate: 96-well plate,cell-based,cell-based format,single,DMSO,0.5,ACEA_T47D_80hr,"ACEA_T47D_80hr, is one of 1 assay component(s) measured or calculated from the ACEA_T47D assay. It is designed to make measurements of real-time cell-growth kinetics, a form of growth reporter, as detected with electrical impedance signals by Real-Time Cell Electrode Sensor (RT-CES) technology.",Electrical impedance is used to quantify changes to the growth of the cells.,single,growth reporter,real-time cell-growth kinetics,cell proliferation,Label Free Technology,Electrical Sensor: Impedance,RT-CES,both,\N,\N,cellular,cellular,ACEA_T47D_80hr_Positive,1,1,"Data from the assay component ACEA_T47D_80hr was analyzed into 2 assay endpoints.  This assay endpoint, ACEA_T47D_80hr_Positive, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene ESR1.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'nuclear receptor' intended target family, where the subfamily is 'steroidal'.",signaling,percent_activity,positive,0,17b-estradiol,gain,pathway,pathway-specified,nuclear receptor,steroidal,0,1|2|3|4|5|6|7|8|9,RPMI-1640|10% FBS|37|24|20000|RPMI-1640|10% charcoal-stripped FBS|37|80,media_base|media_serum|media_temp_celcius|media_time_hr_min|media_cell_aliquot|media_base|media_serum|media_temp_celcius_min|media_time_hr,culture|culture|culture|culture|culture|assay|assay|assay|assay
2,2,3,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_CellCycleArrest_1hr,"APR_HepG2_CellCycleArrest_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for dna to understand morphology in the system.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,Hoechst-33342 dye,dna,dna-unspecified,APR_HepG2_CellCycleArrest_1h_dn,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_CellCycleArrest_1h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of morphology reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene .  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell cycle' intended target family, where the subfamily is 'proliferation'.",signaling,log2_fold_induction,negative,0,Camptothecin;Anisomycin,loss,pathway,pathway-specified,cell cycle,proliferation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,2,4,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_CellCycleArrest_1hr,"APR_HepG2_CellCycleArrest_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for dna to understand morphology in the system.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,Hoechst-33342 dye,dna,dna-unspecified,APR_HepG2_CellCycleArrest_1h_up,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_CellCycleArrest_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of morphology reporter, measures of all nuclear dna for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene .  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell cycle' intended target family, where the subfamily is 'arrest'.",signaling,log2_fold_induction,positive,0,Camptothecin;Anisomycin,gain,pathway,pathway-specified,cell cycle,arrest,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,3,5,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_CellLoss_1hr,"APR_HepG2_CellLoss_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell number, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for dna to understand viability in the system.,single,viability reporter,cell number,cell death,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,Hoechst-33342 dye,dna,dna-unspecified,APR_HepG2_CellLoss_1h_dn,1,1,"Data from the assay component APR_HepG2_CellLoss_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_CellLoss_1h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of viability reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the viability at the cellular-level.  Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell cycle' intended target family, where the subfamily is 'cytotoxicity'.",viability,log2_fold_induction,negative,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,loss,cellular,cellular,cell cycle,cytotoxicity,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,3,6,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_CellLoss_1hr,"APR_HepG2_CellLoss_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell number, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for dna to understand viability in the system.,single,viability reporter,cell number,cell death,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,Hoechst-33342 dye,dna,dna-unspecified,APR_HepG2_CellLoss_1h_up,1,1,"Data from the assay component APR_HepG2_CellLoss_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_CellLoss_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of viability reporter, measures of all nuclear dna for gain-of-signal activity can be used to understand the viability at the cellular-level.  Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell cycle' intended target family, where the subfamily is 'proliferation'.",viability,log2_fold_induction,positive,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,gain,cellular,cellular,cell cycle,proliferation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,4,7,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_MicrotubuleCSK_1hr,"APR_HepG2_MicrotubuleCSK_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.","anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].",single,conformation reporter,protein conformation,protein stabilization,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,antibody,anti-a-tubulin antibody,protein,protein-specified,APR_HepG2_MicrotubuleCSK_1h_dn,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_MicrotubuleCSK_1h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of conformation reporter, measures of protein for loss-of-signal activity can be used to understand the signaling at the cellular-level.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'cell conformation'.",signaling,log2_fold_induction,negative,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,loss,cellular,cellular,cell morphology,cell conformation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,4,8,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_MicrotubuleCSK_1hr,"APR_HepG2_MicrotubuleCSK_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.","anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].",single,conformation reporter,protein conformation,protein stabilization,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,antibody,anti-a-tubulin antibody,protein,protein-specified,APR_HepG2_MicrotubuleCSK_1h_up,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_1hr was analyzed into 2 assay endpoints.  This assay endpoint, APR_HepG2_MicrotubuleCSK_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of conformation reporter, measures of protein for gain-of-signal activity can be used to understand the signaling at the cellular-level.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'cell conformation'.",signaling,log2_fold_induction,positive,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,gain,cellular,cellular,cell morphology,cell conformation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,5,9,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_MitoMass_1hr,"APR_HepG2_MitoMass_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",MitoTracker Red is used as a stain for the morphology of the mitochondria.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,MitoTracker Red,cellular,mitochondria,APR_HepG2_MitoMass_1h_dn,1,1,"Data from the assay component APR_HepG2_MitoMass_1hr was analyzed into 2 assay endpoints. This assay endpoint, APR_HepG2_MitoMass_1h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of morphology reporter, loss-of-signal activity can be used to understand changes in the signaling.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'organelle conformation'.",signaling,log2_fold_induction,negative,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,loss,cellular,mitochondria,cell morphology,organelle conformation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
2,5,10,2,APR,Apredica,"Apredica, a part of Cyprotex, is a preclinical Contract Research Organization (CRO) that provides services including the CellCiphr High Content Screening system.",APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1,9606,human,liver,cell line,\N,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5,APR_HepG2_MitoMass_1hr,"APR_HepG2_MitoMass_1hr, is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",MitoTracker Red is used as a stain for the morphology of the mitochondria.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,both,stain,MitoTracker Red,cellular,mitochondria,APR_HepG2_MitoMass_1h_up,1,1,"Data from the assay component APR_HepG2_MitoMass_1hr was analyzed into 2 assay endpoints. This assay endpoint, APR_HepG2_MitoMass_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of morphology reporter, gain-of-signal activity can be used to understand changes in the signaling.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'organelle conformation'.",signaling,log2_fold_induction,positive,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,gain,cellular,mitochondria,cell morphology,organelle conformation,0,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|non-essential amino acids|glutamine|penicillin|streptomycin|37|18|24|4200|Eagle's minimum essential media/ Earle's balanced salt solution|10% FBS|rat tail collagen I|Hank's balanced salt solution|3.7% formaldehyde|primary antibodies|Hoechst-33342 dye|anti-phospho-histone-H2AX antibody|anti-a-tubulin antibody|anti-p53 antibody|MitoTracker Red|anti-phospho-c-jun antibody|anti-phospho-histone-H3 antibody|25|37|1,media_base|media_serum|cofactor|cofactor|inhibitor|inhibitor|media_temp_celcius|media_time_hr_min|media_time_hr_max|media_cell_aliquot|media_base|media_serum|extracellular matrix|buffer|fixing agent|antibody|stain|antibody|antibody|antibody|stain|antibody|antibody|media_temp_celcius_min|media_temp_celcius_max|media_time_hr,culture|culture|culture|culture|culture|culture|culture|culture|culture|culture|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay|assay
