target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
1,117,2099,estrogen receptor 1,estrogen receptor 1,ESR1,ESR1,\N,P03372,1,live,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,339,7846,"tubulin, alpha 1a","tubulin, alpha 1a",TUBA1A,TUBA1A,\N,Q71U36,1,live
3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,150,3020,"H3 histone, family 3A","H3 histone, family 3A",H3F3A,H3F3A,\N,P84243,1,live
4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,149,3014,"H2A histone family, member X","H2A histone family, member X",H2AFX,H2AFX,\N,P16104,1,live
5,329,7157,tumor protein p53,tumor protein p53,TP53,TP53,\N,P04637,1,live,329,7157,tumor protein p53,tumor protein p53,TP53,TP53,\N,P04637,1,live
6,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,183,3725,jun proto-oncogene,jun proto-oncogene,JUN,JUN,\N,P05412,1,live
7,21,196,aryl hydrocarbon receptor,aryl hydrocarbon receptor,AHR,AHR,\N,P35869,1,live,21,196,aryl hydrocarbon receptor,aryl hydrocarbon receptor,AHR,AHR,\N,P35869,1,live
8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,21,196,aryl hydrocarbon receptor,aryl hydrocarbon receptor,AHR,AHR,\N,P35869,1,live
9,183,3725,jun proto-oncogene,jun proto-oncogene,JUN,JUN,\N,P05412,1,live,183,3725,jun proto-oncogene,jun proto-oncogene,JUN,JUN,\N,P05412,1,live
10,134,2353,FBJ murine osteosarcoma viral oncogene homolog,FBJ murine osteosarcoma viral oncogene homolog,FOS,FOS,\N,P01100,1,live,134,2353,FBJ murine osteosarcoma viral oncogene homolog,FBJ murine osteosarcoma viral oncogene homolog,FOS,FOS,\N,P01100,1,live
11,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,134,2353,FBJ murine osteosarcoma viral oncogene homolog,FBJ murine osteosarcoma viral oncogene homolog,FOS,FOS,\N,P01100,1,live
12,314,7020,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),TFAP2A,TFAP2A,\N,P05549,1,live,314,7020,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),TFAP2A,TFAP2A,\N,P05549,1,live
13,315,7021,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),transcription factor AP-2 beta (activating enhancer binding protein 2 beta),TFAP2B,TFAP2B,\N,Q92481,1,live,315,7021,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),transcription factor AP-2 beta (activating enhancer binding protein 2 beta),TFAP2B,TFAP2B,\N,Q92481,1,live
14,440,83741,transcription factor AP-2 delta (activating enhancer binding protein 2 delta),transcription factor AP-2 delta (activating enhancer binding protein 2 delta),TFAP2D,TFAP2D,\N,Q7Z6R9,1,live,440,83741,transcription factor AP-2 delta (activating enhancer binding protein 2 delta),transcription factor AP-2 delta (activating enhancer binding protein 2 delta),TFAP2D,TFAP2D,\N,Q7Z6R9,1,live
15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,314,7020,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),TFAP2A,TFAP2A,\N,P05549,1,live
16,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,315,7021,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),transcription factor AP-2 beta (activating enhancer binding protein 2 beta),TFAP2B,TFAP2B,\N,Q92481,1,live
17,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,440,83741,transcription factor AP-2 delta (activating enhancer binding protein 2 delta),transcription factor AP-2 delta (activating enhancer binding protein 2 delta),TFAP2D,TFAP2D,\N,Q7Z6R9,1,live
18,196,4086,SMAD family member 1,SMAD family member 1,SMAD1,SMAD1,\N,Q15797,1,live,196,4086,SMAD family member 1,SMAD family member 1,SMAD1,SMAD1,\N,Q15797,1,live
19,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,196,4086,SMAD family member 1,SMAD family member 1,SMAD1,SMAD1,\N,Q15797,1,live
20,58,1051,"CCAAT/enhancer binding protein (C/EBP), beta","CCAAT/enhancer binding protein (C/EBP), beta",CEBPB,CEBPB,\N,P17676,1,live,58,1051,"CCAAT/enhancer binding protein (C/EBP), beta","CCAAT/enhancer binding protein (C/EBP), beta",CEBPB,CEBPB,\N,P17676,1,live
21,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,58,1051,"CCAAT/enhancer binding protein (C/EBP), beta","CCAAT/enhancer binding protein (C/EBP), beta",CEBPB,CEBPB,\N,P17676,1,live
